topic,evidence_1,evidence_2,label,acceptance_rate,evidence_1_stance,evidence_2_stance,evidence_1_detection_score,evidence_2_detection_score,evidence_1_id,evidence_2_id,evidence_1_wikipedia_article_name,evidence_2_wikipedia_article_name,evidence_1_wikipedia_url,evidence_2_wikipedia_url
We should end affirmative action,"In February 2007, Sarkozy appeared on a televised debate on TF1 where he expressed his support for affirmative action and the freedom to work overtime.","Williams believes programs such as affirmative action and minimum wage laws set up to aide minorities have, in fact, been harmful to them and stifled their ability to advance in society.",2,1.0,CON,PRO,0.3405173122882843,0.4699681103229522,2469,2478,Nicolas Sarkozy,Walter E. Williams,https://en.wikipedia.org/wiki/Nicolas_Sarkozy,https://en.wikipedia.org/wiki/Walter_E._Williams
We should subsidize condoms,"In 2009, Lewis strongly criticized Pope Benedict XVI's assertion that condom use only makes the AIDS crisis worse [REF].","Green said that according to the ""best studies,"" condoms makes people take wilder sexual risks, thus worsening the spread of the disease.",2,0.63,PRO,CON,0.9032952785491944,0.86146479845047,1743,1750,Stephen Lewis,HIV/AIDS in the Philippines,https://en.wikipedia.org/wiki/Stephen_Lewis,https://en.wikipedia.org/wiki/HIV/AIDS_in_the_Philippines
We should legalize prostitution,"The appellants' argument then, more precisely stated, is that in criminalizing so many activities surrounding the act itself, Parliament has made prostitution de facto illegal if not de jure illegal."",","Feminists who hold such views on prostitution include Kathleen Barry, Melissa Farley,[REF][REF] Julie Bindel,[REF][REF] Sheila Jeffreys, Catharine MacKinnon[REF] and Laura Lederer;[REF] the European Women's Lobby has also condemned prostitution as ""an intolerable form of male violence"" [REF].",1,0.71,CON,CON,0.644332766532898,0.6740348935127258,1564,1608,Prostitution in Canada,Feminism,https://en.wikipedia.org/wiki/Prostitution_in_Canada,https://en.wikipedia.org/wiki/Feminism
We should adopt socialism,"As a model for the development of post-colonial states, the socialist model proved disappointing, fostering economic stagnation among millions of the world's poorest people.","Lange and Lerner also admitted that socialism would lack any simulation of financial markets, and that this would cause problems in planning capital investment.",1,0.67,CON,CON,0.607889711856842,0.5439362525939941,3517,3530,Randolph Foundation,Economic calculation problem,https://en.wikipedia.org/wiki/Randolph_Foundation,https://en.wikipedia.org/wiki/Economic_calculation_problem
We should prohibit corporal punishment,The research that is available supports the position that spanking and other forms of physical punishment are associated with negative child outcomes.,"In November 2009, the government of the People's Republic of China banned physical punishment to ""wean"" teens from the Internet.",1,0.9,PRO,PRO,0.6410143971443176,0.7279497981071472,3384,3393,Corporal punishment in the home,Internet addiction disorder,https://en.wikipedia.org/wiki/Corporal_punishment_in_the_home,https://en.wikipedia.org/wiki/Internet_addiction_disorder
We should further exploit wind turbines,"In 2010, there were plans for GE to develop five wind turbines to generate 20 megawatts of power by 2012 with plans to generate 1,000 megawatts by 2020; one proposal called for ""gearless turbines"" with 176-long blades helped along with magnets [REF].","The German Government reports that in 2010 renewable energy (mainly wind turbines and biomass plants) generated more than 100 TWh (billion kilowatt-hours) of electricity, providing nearly 17% of the 600 TWh of electricity supplied [REF].",2,0.88,PRO,PRO,0.6788483262062073,0.9333041906356812,1512,1525,Lake Erie,Renewable energy in Germany,https://en.wikipedia.org/wiki/Lake_Erie,https://en.wikipedia.org/wiki/Renewable_energy_in_Germany
We should ban trans fats usage in food,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board [REF].,The government banning trans fat may have a positive top-down effect on the health of all individuals in that state or country.,2,0.75,CON,PRO,0.8794968128204346,0.8453442454338074,2935,2933,Trans fat,Social ecological model,https://en.wikipedia.org/wiki/Trans_fat,https://en.wikipedia.org/wiki/Social_ecological_model
We should further exploit hydroelectric dams,"A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing [REF].",The Snake River Plain and smaller river basins provide Idaho with some of the best hydroelectric power resources in the nation and its geologically active mountain areas have significant geothermal power and wind power potential.,1,0.67,CON,PRO,0.8856885433197021,0.5710663199424744,2975,2965,Reservoir,Idaho,https://en.wikipedia.org/wiki/Reservoir,https://en.wikipedia.org/wiki/Idaho
We should prohibit corporal punishment,"As early as 1985 The New York Times stated that ""most child-care experts today disapprove of physical punishment.""[REF] .","Many countries, including some US states, also permit the use of less severe corporal punishment for children in school.",1,1.0,PRO,CON,0.6949782371520996,0.6661058664321899,3414,3445,Child discipline,Assault,https://en.wikipedia.org/wiki/Child_discipline,https://en.wikipedia.org/wiki/Assault
We should ban partial birth abortions,"Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba.",Brownback also supports parental notification for minors who seek an abortion and opposes Partial Birth Abortion [REF].,2,0.75,CON,PRO,0.6462774872779846,0.8140475153923035,56,95,Jim Jeffords,Sam Brownback,https://en.wikipedia.org/wiki/Jim_Jeffords,https://en.wikipedia.org/wiki/Sam_Brownback
We should further exploit hydroelectric dams,"In October 2010, China Yangtze Power, the largest hydropower corporation in China, and EuroSibEnergo, a Russian energy company, signed a cooperation agreement to expand hydroelectric energy production in Russia and export energy to China's northern territories [REF].","The Centroamérica power plant on the Tuma River in the Central highlands has been expanded, and other hydroelectric projects have been undertaken to help provide electricity to the nation's newer industries [REF].",2,0.63,PRO,PRO,0.6482659578323364,0.6480034589767456,2968,3007,Renewable energy in Russia,Nicaragua,https://en.wikipedia.org/wiki/Renewable_energy_in_Russia,https://en.wikipedia.org/wiki/Nicaragua
We should fight illegal immigration,"Around 2005, an increasing number of banks saw illegal immigrants as an untapped resource for growing their own revenue stream and contended that providing illegal aliens with mortgages would help revitalize local communities, with many community banks providing home loans for illegal immigrants [REF].","In a CBS News/New York Times poll, 69% of Americans favor prosecuting and deporting illegal immigrants; 33% favor deporting those who have lived and worked in the U.S. for at least two years [REF].",2,0.89,CON,PRO,0.5056897401809692,0.6856749653816223,297,304,Illegal immigration to the United States,Illegal immigration to the United States,https://en.wikipedia.org/wiki/Illegal_immigration_to_the_United_States,https://en.wikipedia.org/wiki/Illegal_immigration_to_the_United_States
We should legalize prostitution,"On September 2, 2009, Cicilline submitted an ordinance to the City Council to ban indoor prostitution in the city, imposing a $500 fine and a potential 30-day prison sentence on violators [REF].","In 1990, the Supreme Court of Canada upheld the law which bans public solicitation of prostitution, arguing that the law had the goal to abolish prostitution, which was a valid goal.",2,0.78,CON,CON,0.8083139657974243,0.6900994181632996,1633,1609,David Cicilline,Prostitution in Canada,https://en.wikipedia.org/wiki/David_Cicilline,https://en.wikipedia.org/wiki/Prostitution_in_Canada
We should legalize polygamy,"Sarah Pratt ended her marriage to husband Orson Pratt in 1868 because of his ""obsession with marrying younger women""[REF] and condemned polygamy because: [polygamy] completely demoralizes good men and makes bad men correspondingly worse.","The autonomous regions of Somaliland and Puntland in northern Somalia also recognize polygamy, as does the country's Transitional Federal Government itself, since the country is governed by Sharia law.",2,0.63,CON,PRO,0.5620014071464539,0.5233713984489441,2572,2565,Sarah Marinda Bates Pratt,Legal status of polygamy,https://en.wikipedia.org/wiki/Sarah_Marinda_Bates_Pratt,https://en.wikipedia.org/wiki/Legal_status_of_polygamy
